"mpio","dep","pob","emplserv","mpionombre","depnombre","ind"
25402,25,4399,23,"La Vega","Cundinamarca",522.846101386679
15469,15,9780,51,"Moniquirá","Boyacá",521.472392638037
44430,44,64009,333,"Maicao","La Guajira",520.239341342624
73504,73,7515,39,"Ortega","Tolima",518.962075848303
15839,15,193,1,"Tutazá","Boyacá",518.134715025907
52427,52,3289,17,"Magüi","Nariño",516.874429917908
54480,54,582,3,"Mutiscua","Norte de Santander",515.463917525773
15673,15,1365,7,"San Mateo","Boyacá",512.820512820513
15135,15,792,4,"Campohermoso","Boyacá",505.050505050505
52565,52,4165,21,"Providencia","Nariño",504.201680672269
54498,54,76704,386,"Ocaña","Norte de Santander",503.233208176888
25524,25,994,5,"Pandi","Cundinamarca",503.018108651911
68686,68,398,2,"San Miguel","Santander",502.51256281407
27001,27,99369,495,"Quibdó","Chocó",498.143284122815
11001,11,6725493,33361,"Bogotá D.C.","Bogotá D.C.",496.037985616817
85136,85,404,2,"La Salina","Casanare",495.049504950495
8573,8,20116,99,"Puerto Colombia","Atlántico",492.145555776496
54206,54,5926,29,"Convención","Norte de Santander",489.368882888964
44650,44,17372,85,"San Juan del Cesar","La Guajira",489.293115358047
47001,47,382713,1867,"Santa Marta","Magdalena",487.832919184872
70400,70,5133,25,"La Unión","Sucre",487.044613286577
15776,15,1238,6,"Sutamarchán","Boyacá",484.652665589661
19256,19,5804,28,"El Tambo","Cauca",482.425913163336
52838,52,16394,79,"Túquerres","Nariño",481.883615957057
15753,15,5436,26,"Soatá","Boyacá",478.292862398823
23417,23,45051,214,"Lorica","Córdoba",475.0172027258
52786,52,3595,17,"Taminango","Nariño",472.878998609179
68132,68,860,4,"California","Santander",465.116279069767
44001,44,137219,638,"Riohacha","La Guajira",464.950189113752
15511,15,434,2,"Pachavita","Boyacá",460.829493087558
44847,44,5001,23,"Uribia","La Guajira",459.908018396321
23182,23,20980,96,"Chinú","Córdoba",457.578646329838
23555,23,38302,174,"Planeta Rica","Córdoba",454.284371573286
54871,54,1769,8,"Villa Caro","Norte de Santander",452.232899943471
52411,52,2233,10,"Linares","Nariño",447.828034034931
52254,52,896,4,"El Peñol","Nariño",446.428571428571
54743,54,898,4,"Silos","Norte de Santander",445.43429844098
15218,15,450,2,"Covarachía","Boyacá",444.444444444444
68013,68,226,1,"Aguada","Santander",442.477876106195
68147,68,3170,14,"Capitanejo","Santander",441.640378548896
41006,41,4633,20,"Acevedo","Huila",431.685732786531
25386,25,13779,59,"La Mesa","Cundinamarca",428.187822048044
54405,54,65240,279,"Los Patios","Norte de Santander",427.651747394237
17272,17,3998,17,"Filadelfia","Caldas",425.212606303152
15835,15,2360,10,"Turmequé","Boyacá",423.728813559322
41396,41,20596,87,"La Plata","Huila",422.412118858031
15131,15,237,1,"Caldas","Boyacá",421.940928270042
25398,25,954,4,"La Peña","Cundinamarca",419.287211740042
52540,52,2147,9,"Policarpa","Nariño",419.189566837448
19622,19,1439,6,"Rosas","Cauca",416.956219596942
15223,15,1681,7,"Cubará","Boyacá",416.418798334325
15681,15,721,3,"San Pablo de Borbur","Boyacá",416.088765603329
15778,15,721,3,"Sutatenza","Boyacá",416.088765603329
41001,41,293090,1219,"Neiva","Huila",415.913200723327
68322,68,482,2,"Guapotá","Santander",414.9377593361
23570,23,11380,47,"Pueblo Nuevo","Córdoba",413.005272407733
15180,15,974,4,"Chiscas","Boyacá",410.677618069815
25053,25,4394,18,"Arbeláez","Cundinamarca",409.649522075558
